City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Brigantine,US,2022-03-28 04:49:05,39.4101,-74.3646,32.05,45,0,21.85
222,Qaqortoq,GL,2022-03-28 04:49:05,60.7167,-46.0333,23.14,70,36,6.67
223,Cherskiy,RU,2022-03-28 04:49:06,68.75,161.3,8.22,87,70,5.7
224,Port-Gentil,GA,2022-03-28 04:49:06,-0.7193,8.7815,81.45,83,99,11.16
225,Birjand,IR,2022-03-28 04:49:07,32.8663,59.2211,52.27,13,0,0.0
226,Gemena,CD,2022-03-28 04:49:07,3.25,19.7667,71.98,75,100,2.66
227,Westport,US,2022-03-28 04:45:02,41.1415,-73.3579,32.04,46,100,18.41
228,Jalu,LY,2022-03-28 04:49:08,29.0331,21.5482,56.71,17,2,11.61
229,Butaritari,KI,2022-03-28 04:49:08,3.0707,172.7902,81.66,70,39,9.75
230,Chokurdakh,RU,2022-03-28 04:50:09,70.6333,147.9167,1.99,91,21,5.7
231,Gallup,US,2022-03-28 04:48:09,35.5281,-108.7426,53.02,16,0,6.91
232,Muisne,EC,2022-03-28 04:50:09,0.6,-80.0333,77.29,85,100,3.94
233,Nadym,RU,2022-03-28 04:50:10,65.5333,72.5167,17.73,87,100,20.62
234,Ostrovnoy,RU,2022-03-28 04:50:10,68.0531,39.5131,20.97,67,100,10.09
235,Nauta,PE,2022-03-28 04:50:11,-4.5061,-73.5757,70.86,99,100,1.36
236,Kenora,CA,2022-03-28 04:50:11,49.8167,-94.4337,14.97,34,0,5.75
237,Half Moon Bay,US,2022-03-28 04:50:12,37.4636,-122.4286,56.1,89,100,19.57
238,Fairbanks,US,2022-03-28 04:48:05,64.8378,-147.7164,37.36,50,0,5.75
239,Tucurui,BR,2022-03-28 04:50:13,-3.7661,-49.6725,73.94,99,100,2.8
240,Banda Aceh,ID,2022-03-28 04:50:13,5.5577,95.3222,85.87,66,70,6.49
241,Sehwan,PK,2022-03-28 04:50:13,26.4279,67.863,99.16,10,0,8.12
242,Kitui,KE,2022-03-28 04:50:14,-1.367,38.0106,68.16,78,58,5.01
